--- Atoms: 
CONJESTED('1275_356') Truth=[1]
CONJESTED('1072_506') Truth=[1]
CONJESTED('917_955') Truth=[1]
CONJESTED('1004_123') Truth=[1]
CONJESTED('1206_1131') Truth=[1]
CONJESTED('578_394') Truth=[1]
CONJESTED('1116_1293') Truth=[0.99]
CONJESTED('124_870') Truth=[1]
CONJESTED('568_224') Truth=[1]
CONJESTED('655_1110') Truth=[1]
CONJESTED('1277_178') Truth=[1]
CONJESTED('269_697') Truth=[1]
CONJESTED('45_939') Truth=[1]
CONJESTED('143_904') Truth=[1]
CONJESTED('890_586') Truth=[1]
CONJESTED('673_925') Truth=[1]
CONJESTED('1274_967') Truth=[1]
CONJESTED('582_246') Truth=[1]
CONJESTED('1171_1119') Truth=[1]
CONJESTED('1062_133') Truth=[1]
CONJESTED('523_813') Truth=[1]
CONJESTED('48_350') Truth=[1]
CONJESTED('389_1023') Truth=[1]
CONJESTED('604_776') Truth=[1]
CONJESTED('833_778') Truth=[1]
CONJESTED('1002_974') Truth=[1]
CONJESTED('188_508') Truth=[1]
CONJESTED('105_152') Truth=[1]
CONJESTED('1104_552') Truth=[1]
CONJESTED('934_1212') Truth=[1]
CONJESTED('1331_942') Truth=[1]
CONJESTED('704_752') Truth=[1]
CONJESTED('427_1279') Truth=[1]
CONJESTED('1287_934') Truth=[1]
CONJESTED('133_160') Truth=[1]
CONJESTED('145_995') Truth=[1]
CONJESTED('1074_99') Truth=[1]
CONJESTED('713_259') Truth=[1]
CONJESTED('246_775') Truth=[1]
CONJESTED('681_648') Truth=[1]
CONJESTED('932_530') Truth=[1]
CONJESTED('125_1116') Truth=[0.97]
CONJESTED('1349_1284') Truth=[1]
CONJESTED('201_1266') Truth=[1]
CONJESTED('271_967') Truth=[1]
CONJESTED('631_744') Truth=[1]
CONJESTED('160_126') Truth=[1]
CONJESTED('116_513') Truth=[1]
CONJESTED('574_756') Truth=[1]
CONJESTED('236_808') Truth=[1]
CONJESTED('788_960') Truth=[1]
CONJESTED('600_1214') Truth=[1]
CONJESTED('812_215') Truth=[1]
CONJESTED('198_299') Truth=[1]
CONJESTED('80_882') Truth=[1]
CONJESTED('280_669') Truth=[1]
CONJESTED('525_1033') Truth=[1]
CONJESTED('1051_613') Truth=[1]
CONJESTED('1088_984') Truth=[1]
CONJESTED('87_716') Truth=[1]
CONJESTED('625_417') Truth=[1]
CONJESTED('1013_284') Truth=[1]
CONJESTED('633_125') Truth=[1]
CONJESTED('126_278') Truth=[0.71]
CONJESTED('818_965') Truth=[0.48]
CONJESTED('1149_144') Truth=[1]
CONJESTED('880_606') Truth=[1]
CONJESTED('696_1036') Truth=[1]
CONJESTED('997_411') Truth=[1]
CONJESTED('295_37') Truth=[1]
