--- Atoms: 
CONJESTED('711_55') Truth=[0.28]
CONJESTED('29_888') Truth=[1]
CONJESTED('659_1360') Truth=[0.08]
CONJESTED('534_953') Truth=[1]
CONJESTED('1012_940') Truth=[0.15]
CONJESTED('0_325') Truth=[0.58]
CONJESTED('1272_115') Truth=[0.15]
CONJESTED('1076_922') Truth=[0.1]
CONJESTED('132_1156') Truth=[0.67]
CONJESTED('804_65') Truth=[0.5]
CONJESTED('360_922') Truth=[0.11]
CONJESTED('691_521') Truth=[0]
CONJESTED('1190_1351') Truth=[0.22]
CONJESTED('672_491') Truth=[0.45]
CONJESTED('1344_1182') Truth=[0.16]
CONJESTED('515_451') Truth=[0.5]
CONJESTED('995_873') Truth=[0.63]
CONJESTED('417_1257') Truth=[0.44]
CONJESTED('1150_1009') Truth=[0.5]
CONJESTED('1125_1164') Truth=[0.5]
CONJESTED('1324_80') Truth=[0.15]
CONJESTED('831_1198') Truth=[0.21]
CONJESTED('167_682') Truth=[0.18]
CONJESTED('1184_447') Truth=[0.5]
CONJESTED('676_381') Truth=[0.77]
CONJESTED('117_932') Truth=[0]
CONJESTED('1344_720') Truth=[0.42]
CONJESTED('898_639') Truth=[0.5]
CONJESTED('1003_1352') Truth=[0.41]
CONJESTED('892_1244') Truth=[1]
CONJESTED('990_1073') Truth=[0.19]
CONJESTED('131_1367') Truth=[0.5]
CONJESTED('1227_495') Truth=[0.3]
CONJESTED('118_746') Truth=[0.7]
CONJESTED('130_175') Truth=[0.12]
CONJESTED('1040_657') Truth=[0.53]
CONJESTED('813_1231') Truth=[0.5]
CONJESTED('218_378') Truth=[0.02]
CONJESTED('706_708') Truth=[0.41]
CONJESTED('539_1279') Truth=[0.29]
CONJESTED('330_349') Truth=[0.19]
CONJESTED('426_688') Truth=[0.04]
CONJESTED('96_2') Truth=[1]
CONJESTED('1279_1143') Truth=[0.64]
CONJESTED('1280_1007') Truth=[0.57]
CONJESTED('644_582') Truth=[0]
CONJESTED('657_1040') Truth=[0.3]
CONJESTED('823_177') Truth=[0.16]
CONJESTED('1163_172') Truth=[0.42]
CONJESTED('387_1199') Truth=[0.16]
CONJESTED('1025_211') Truth=[0.72]
CONJESTED('1371_52') Truth=[0.05]
CONJESTED('1152_674') Truth=[0.14]
CONJESTED('161_162') Truth=[1]
CONJESTED('176_390') Truth=[0.5]
CONJESTED('722_805') Truth=[0.18]
CONJESTED('938_1220') Truth=[0.07]
CONJESTED('62_398') Truth=[0.68]
CONJESTED('1101_1172') Truth=[0.12]
CONJESTED('177_1181') Truth=[0.42]
CONJESTED('443_1088') Truth=[0.44]
CONJESTED('904_143') Truth=[0.49]
CONJESTED('718_381') Truth=[0.64]
CONJESTED('1008_328') Truth=[1]
CONJESTED('633_963') Truth=[0.54]
CONJESTED('1046_953') Truth=[1]
CONJESTED('152_475') Truth=[0.18]
CONJESTED('547_1147') Truth=[0.2]
CONJESTED('211_294') Truth=[0.67]
CONJESTED('1336_95') Truth=[0.06]
CONJESTED('484_1253') Truth=[0.94]
CONJESTED('1351_1302') Truth=[0.7]
CONJESTED('1193_143') Truth=[0.36]
CONJESTED('314_478') Truth=[0.23]
CONJESTED('249_388') Truth=[0.51]
CONJESTED('336_416') Truth=[0]
CONJESTED('487_745') Truth=[0.02]
CONJESTED('677_183') Truth=[0.59]
CONJESTED('701_54') Truth=[1]
CONJESTED('77_131') Truth=[0.5]
CONJESTED('514_734') Truth=[0.72]
CONJESTED('956_442') Truth=[0]
CONJESTED('36_885') Truth=[0.5]
CONJESTED('311_607') Truth=[0.5]
CONJESTED('1130_1269') Truth=[0.18]
CONJESTED('1323_438') Truth=[0.29]
CONJESTED('241_227') Truth=[0.07]
CONJESTED('35_847') Truth=[0.13]
CONJESTED('682_1036') Truth=[0.58]
CONJESTED('559_737') Truth=[1]
CONJESTED('820_557') Truth=[0.35]
CONJESTED('1322_610') Truth=[0.5]
CONJESTED('717_568') Truth=[0.5]
CONJESTED('297_1225') Truth=[0.37]
CONJESTED('290_377') Truth=[0.41]
CONJESTED('688_1301') Truth=[0.11]
CONJESTED('964_1290') Truth=[0.5]
CONJESTED('1250_414') Truth=[0.5]
CONJESTED('459_1156') Truth=[0.67]
CONJESTED('345_123') Truth=[0.66]
CONJESTED('734_1297') Truth=[0.23]
CONJESTED('52_454') Truth=[0.13]
CONJESTED('159_128') Truth=[0.43]
CONJESTED('647_1204') Truth=[1]
CONJESTED('182_1067') Truth=[1]
CONJESTED('126_894') Truth=[0.24]
CONJESTED('265_683') Truth=[0.7]
CONJESTED('714_919') Truth=[0.02]
CONJESTED('756_418') Truth=[0.09]
CONJESTED('1218_550') Truth=[0.15]
CONJESTED('739_696') Truth=[0.49]
CONJESTED('233_531') Truth=[0.1]
CONJESTED('134_823') Truth=[0.67]
CONJESTED('965_125') Truth=[0.6]
CONJESTED('1309_1251') Truth=[0.2]
CONJESTED('1019_171') Truth=[1]
CONJESTED('920_1047') Truth=[1]
CONJESTED('1075_193') Truth=[0.43]
CONJESTED('987_948') Truth=[0.15]
CONJESTED('854_294') Truth=[0.61]
CONJESTED('1214_1269') Truth=[0.18]
CONJESTED('989_1370') Truth=[0.5]
CONJESTED('510_290') Truth=[0.13]
CONJESTED('1221_398') Truth=[0.88]
CONJESTED('1137_1205') Truth=[0.85]
CONJESTED('1315_1094') Truth=[0.04]
CONJESTED('925_686') Truth=[0.02]
CONJESTED('519_1044') Truth=[0.56]
CONJESTED('966_192') Truth=[0.54]
CONJESTED('42_1111') Truth=[0.24]
CONJESTED('231_23') Truth=[0.23]
CONJESTED('1377_776') Truth=[0.63]
CONJESTED('701_756') Truth=[0.03]
CONJESTED('613_672') Truth=[0.11]
CONJESTED('1272_1330') Truth=[0.15]
CONJESTED('750_190') Truth=[0.44]
CONJESTED('266_225') Truth=[0.84]
CONJESTED('1366_192') Truth=[0.66]
CONJESTED('690_328') Truth=[0.5]
CONJESTED('271_790') Truth=[0.01]
CONJESTED('627_407') Truth=[0.15]
CONJESTED('482_883') Truth=[0.08]
CONJESTED('319_738') Truth=[0.15]
CONJESTED('669_280') Truth=[0.16]
CONJESTED('1040_438') Truth=[0.4]
CONJESTED('1004_163') Truth=[0.09]
CONJESTED('1162_1060') Truth=[0]
CONJESTED('661_1329') Truth=[0.41]
CONJESTED('1314_35') Truth=[0.05]
CONJESTED('1062_565') Truth=[0.48]
CONJESTED('1375_927') Truth=[0.04]
CONJESTED('769_1372') Truth=[0.28]
CONJESTED('988_520') Truth=[0.5]
CONJESTED('720_1344') Truth=[1]
CONJESTED('828_890') Truth=[0.5]
CONJESTED('1154_1377') Truth=[0.25]
CONJESTED('612_1364') Truth=[0.23]
